recordType,formTypeCd,reportTypeCd,reportInfoIdent,applicableYear,filerIdent,filerTypeCd,filerName,filerSort,dueDt,receivedDt,periodStartDt,periodEndDt,filedDt,regReportInfoIdent,sourceCategoryCd,filerPersentTypeCd,filerNameOrganization,filerNameLast,filerNameSuffixCd,filerNameFirst,filerNamePrefixCd,filerNameShort,signerPrintedName,onbehalfFlag,totalExpendTransportation,totalExpendFood,totalExpendEntertainment,totalExpendGift,totalExpendAward,totalExpendEvent,totalExpendMedia,totalBenefitStateSen,totalBenefitStateRep,totalBenefitOtherElected,totalBenefitLegEmpl,totalBenefitExecEmpl,totalBenefitFamily,totalBenefitEvent,totalBenefitGuest,lobbyistRegisteredDt,lobbyistTerminatedDt,corrExplMemo,coverSheetMemo,subjectMatterMemo,docketsMemo
CVLA,LOBBYACT,LOBBYACTMAY,341168,2007,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20070510,20070504,20070401,20070430,20070504,326027,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,49.90,0.00,0.00,0.00,24.95,24.95,0.00,0.00,0.00,0.00,0.00,0.00,20070101,20071231,,,,
CVLA,LOBBYACT,LOBBYACTJUL,66074,1996,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19960710,19960702,19960601,19960630,19960702,50202,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19951122,19961231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,126382,1999,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19990810,19990803,,,19990803,114703,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19990101,19991231,,,,
CVLA,LOBBYACT,LOBBYACTJUL,105447,1998,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19980710,19980703,,,19980703,94632,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19980101,19981231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,317896,2006,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20060810,20060816,20060701,20060731,20060816,296836,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,15.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.12,0.00,0.00,0.00,0.00,20060110,20061231,,,,
CVLA,LOBBYACT,LOBBYACTSEP,67693,1996,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19960910,19960910,,,19960910,50202,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19951122,19961231,,,,
CVLA,LOBBYACT,LOBBYACTSEP,230920,2003,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",20030910,20030904,20030801,20030831,20030904,212038,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20030101,20031231,,,,
CVLA,LOBBYACT,LOBBYACTNOV,549736,2012,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20121113,20121102,20121001,20121031,20121102,508499,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20120101,20121231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,656549,2015,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20150511,20150503,20150401,20150430,20150503,639894,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidneey D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20150108,20151231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,615360,2014,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20140610,20140602,20140501,20140531,20140602,597213,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,68.81,0.00,29.95,0.00,0.00,0.00,0.00,98.76,0.00,0.00,0.00,0.00,0.00,0.00,20140111,20141231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,30419,1994,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19940810,19940810,,,19940810,19769,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19931228,19941231,,,,
CVLA,LOBBYACT,LOBBYACTNOV,49710,1995,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19951110,19951110,,,19951110,35139,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19941223,19951231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,623082,2014,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20140811,20140801,20140701,20140731,20140801,597213,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20140111,20141231,,,,
CVLA,LOBBYACT,LOBBYACTJUL,576889,2013,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20130710,20130701,20130601,20130630,20130701,553327,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20130101,20131231,,,,
CVLA,LOBBYACT,LOBBYACTAPR,369284,2008,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20080410,20080408,20080301,20080331,20080408,354129,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20080101,20081231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,392372,2008,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20081210,20081202,20081101,20081130,20081202,354129,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20080101,20081231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,430391,2009,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20091210,20091203,20091101,20091130,20091203,393654,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20090101,20091231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,551532,2012,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20121210,20121202,20121101,20121130,20121202,508499,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20120101,20121231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,503893,2011,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20111011,20111007,20110901,20110930,20111007,472189,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20110101,20111231,,,,
CVLA,LOBBYACT,LOBBYACTJAN,72136,1997,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19970110,19970110,,,19970110,152921,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19970101,19971231,,,,
CVLA,LOBBYACT,LOBBYACTNOV,109894,1998,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19981110,19981110,,,19981110,94632,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19980101,19981231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,86899,1997,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19970811,19970811,,,19970811,152921,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19970101,19971231,,,,
CVLA,LOBBYACT,LOBBYACTJUL,8953,1993,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19930712,19930706,,,19930706,2236,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,32.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19921208,19931231,,,,
CVLA,LOBBYACT,LOBBYACTAUG,230921,2003,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",20030811,20030904,20030701,20030731,20030904,212038,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20030101,20031231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,426570,2009,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20091013,20091001,20090901,20090930,20091001,393654,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20090101,20091231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,492233,2011,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20110610,20110601,20110501,20110531,20110601,472189,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20110101,20111231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,142901,2000,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",20000510,20000510,,,20000510,135288,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20000108,20001231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,48873,1995,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19951010,19951006,,,19951006,35139,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19941223,19951231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,98620,1998,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19980310,19980310,,,19980310,94632,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19980101,19981231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,34186,1995,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19941212,19941205,,,19941205,35139,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19941223,19951231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,565152,2013,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20130311,20130301,20130201,20130228,20130301,553327,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20130101,20131231,,,,
CVLA,LOBBYACT,LOBBYACTSEP,349142,2007,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20070910,20070903,20070801,20070831,20070903,326027,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20070101,20071231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,88297,1997,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19971010,19971009,,,19971009,152921,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19970101,19971231,,,,
CVLA,LOBBYACT,LOBBYACTSEP,87604,1997,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19970910,19970910,,,19970910,152921,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,151.20,0.00,0.00,0.00,92.05,0.00,59.15,0.00,0.00,0.00,,19970101,19971231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,353528,2007,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20071210,20071203,20071101,20071130,20071203,326027,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20070101,20071231,,,,
CVLA,LOBBYACT,LOBBYACTJUL,125525,1999,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19990712,19990803,,,19990803,114703,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,,,,,,,,,,,,,,,,19990101,19991231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,50753,1996,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19951211,19951206,,,19951206,50202,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19951122,19961231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,44267,1995,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19950510,19950509,,,19950509,35139,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19941223,19951231,,,,
CVLA,LOBBYACT,LOBBYACTNOV,323617,2006,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20061113,20061103,20061001,20061031,20061103,296836,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20060110,20061231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,168502,2001,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",20010312,20010306,20010201,20010228,20010306,164419,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20010104,20010606,,,,
CVLA,LOBBYACT,LOBBYACTSEP,461284,2010,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20100910,20100902,20100801,20100831,20100902,433486,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100104,20101231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,64147,1996,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19960610,19960608,,,19960608,50202,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19951122,19961231,,,,
CVLA,LOBBYACT,LOBBYACTAPR,121571,1999,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19990412,19990403,,,19990403,114703,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19990101,19991231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,483751,2011,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20110310,20110308,20110201,20110228,20110308,472189,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20110101,20111231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,5452,1993,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19930310,19930303,,,19930303,2236,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19921208,19931231,,,,
CVLA,LOBBYACT,LOBBYACTMAR,404966,2009,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20090310,20090305,20090201,20090228,20090305,393654,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20090101,20091231,,,,
CVLA,LOBBYACT,LOBBYACTFEB,562667,2013,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20130211,20130202,20130101,20130131,20130202,553327,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20130101,20131231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,83146,1997,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19970512,19970501,,,19970501,152921,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19970101,19971231,,,,
CVLA,LOBBYACT,LOBBYACTJAN,15845,1994,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19940110,19940105,,,19940105,19769,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,,,,,,,,,,,,,,,,19931228,19941231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,544451,2012,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20121010,20121001,20120901,20120930,20121001,508499,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20120101,20121231,,,,
CVLA,LOBBYACT,LOBBYACTAPR,651194,2015,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20150410,20150401,20150301,20150331,20150401,639894,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Ricjh,N,0.00,0.00,0.00,85.85,0.00,0.00,0.00,0.00,29.95,0.00,0.00,55.90,0.00,0.00,0.00,20150108,20151231,,,,
CVLA,LOBBYACT,LOBBYACTJUN,452600,2010,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20100610,20100602,20100501,20100531,20100602,433486,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D Rich,N,0.00,0.00,0.00,29.95,0.00,0.00,0.00,29.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100104,20101231,,,,
CVLA,LOBBYACT,LOBBYACTOCT,320220,2006,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20061010,20061006,20060901,20060930,20061006,296836,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20060110,20061231,,,,
CVLA,LOBBYACT,LOBBYACTNOV,14182,1993,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19931110,19931109,,,19931109,2236,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19921208,19931231,,,,
CVLA,LOBBYACT,LOBBYACTDEC,325095,2006,00010008,LOBB,"Rich, Sidney","RICH, SIDNEY",20061211,20061204,20061101,20061130,20061204,296836,UNKNOWN,INDIVIDUAL,,Rich,,Sidney,,,Sidney D. Rich,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20060110,20061231,,,,
CVLA,LOBBYACT,LOBBYACTMAY,63534,1996,00010008,LOBB,"Rich, Sidney D. (Mr.)","RICH, SIDNEY D. (MR.)",19960510,19960510,,,19960510,50202,UNKNOWN,INDIVIDUAL,,Rich,,Sidney D.,MR,,,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19951122,19961231,,,,
